# darwin.no-hidden-gauge-fixing.blind-inputs.v1.2
# format: vector-id|vertexCount,edgeMask,parityMask,anchorMask,anchorValueMask
# expected values are committed by hash in the manifest and omitted here
cgb12-0481|6,21041,32,9,1
cgb12-0484|6,21041,4097,59,41
cgb12-0486|6,21041,4113,2,0
cgb12-0488|6,21041,4113,63,58
cgb12-0490|6,21041,4144,55,23
cgb12-0491|6,21041,4144,57,24
cgb12-0492|6,21041,4144,7,2
cgb12-0495|6,21041,4608,50,18
cgb12-0497|6,21041,4624,2,2
cgb12-0502|6,21041,4657,22,18
cgb12-0504|6,21041,513,0,0
cgb12-0508|6,21041,544,22,6
cgb12-0510|6,21041,560,43,41
cgb12-0514|3,3,0,2,0
cgb12-0515|3,3,0,3,0
cgb12-0521|3,3,0,7,4
cgb12-0528|3,3,1,3,3
cgb12-0534|3,3,1,6,4
cgb12-0549|3,3,2,7,7
cgb12-0551|3,3,3,1,1
cgb12-0553|3,3,3,2,2
cgb12-0554|3,3,3,3,2
cgb12-0566|4,7,0,3,2
cgb12-0573|4,7,1,11,3
cgb12-0574|4,7,1,14,2
cgb12-0575|4,7,1,14,4
cgb12-0578|4,7,1,9,9
cgb12-0579|4,7,2,11,9
cgb12-0593|4,7,4,11,10
cgb12-0598|4,7,4,15,14
cgb12-0600|4,7,5,12,4
cgb12-0601|4,7,5,14,6
cgb12-0604|4,7,5,2,0
cgb12-0605|4,7,5,8,8
cgb12-0616|4,7,7,10,8
cgb12-0617|4,7,7,13,5
cgb12-0619|4,7,7,7,0
cgb12-0620|4,7,7,7,3
cgb12-0624|5,15,0,21,20
cgb12-0627|5,15,1,9,9
cgb12-0631|5,15,10,9,0
cgb12-0642|5,15,13,23,21
cgb12-0648|5,15,15,21,0
cgb12-0650|5,15,15,3,3
cgb12-0651|5,15,2,11,9
cgb12-0655|5,15,2,7,7
cgb12-0658|5,15,3,16,0
cgb12-0660|5,15,3,23,18
cgb12-0663|5,15,4,25,8
cgb12-0667|5,15,5,4,4
cgb12-0679|5,15,8,30,2
cgb12-0683|5,15,9,30,2
cgb12-0684|6,31,0,0,0
cgb12-0685|6,31,0,1,1
cgb12-0689|6,31,11,14,14
cgb12-0690|6,31,12,0,0
cgb12-0692|6,31,12,54,4
cgb12-0694|6,31,13,15,11
cgb12-0702|6,31,17,17,1
cgb12-0704|6,31,17,3,2
cgb12-0711|6,31,2,43,33
cgb12-0714|6,31,20,52,4
cgb12-0717|6,31,21,25,16
cgb12-0723|6,31,24,57,41
cgb12-0725|6,31,24,62,12
cgb12-0729|6,31,25,60,40
cgb12-0734|6,31,27,15,5
cgb12-0737|6,31,29,37,37
cgb12-0745|6,31,30,35,3
cgb12-0747|6,31,31,20,16
cgb12-0748|6,31,31,33,33
cgb12-0752|6,31,4,53,36
cgb12-0760|6,31,6,3,2
cgb12-0762|6,31,7,20,0
cgb12-0764|6,31,7,48,32
cgb12-0765|6,31,8,54,18
cgb12-0767|6,31,9,58,0
cgb12-0768|3,35,0,2,0
cgb12-0769|3,35,0,5,1
cgb12-0770|3,35,0,5,5
cgb12-0772|3,35,0,7,2
cgb12-0773|3,35,0,7,7
cgb12-0777|3,35,1,5,4
cgb12-0778|3,35,1,6,2
cgb12-0784|3,35,3,3,3
cgb12-0785|3,35,3,4,4
cgb12-0787|3,35,3,6,4
cgb12-0789|3,35,32,2,0
cgb12-0790|3,35,32,5,4
cgb12-0792|3,35,32,7,2
cgb12-0793|3,35,33,0,0
cgb12-0797|3,35,33,4,4
cgb12-0798|3,35,33,5,5
cgb12-0804|3,35,34,6,4
cgb12-0807|3,35,35,5,1
cgb12-0811|4,615,1,4,0
cgb12-0814|4,615,101,7,6
cgb12-0818|4,615,3,14,8
cgb12-0823|4,615,512,2,2
cgb12-0828|4,615,514,14,10
cgb12-0837|4,615,546,14,2
cgb12-0843|4,615,577,0,0
cgb12-0844|4,615,577,10,0
cgb12-0847|4,615,579,14,10
cgb12-0849|4,615,580,9,0
cgb12-0852|4,615,582,5,4
cgb12-0855|4,615,609,1,1
cgb12-0861|4,615,612,12,12
cgb12-0862|4,615,612,9,0
cgb12-0866|4,615,64,4,4
cgb12-0868|4,615,70,10,8
cgb12-0871|4,615,71,12,4
cgb12-0872|4,615,71,8,8
cgb12-0873|4,615,96,13,12
cgb12-0875|4,615,96,6,0
cgb12-0876|4,615,98,0,0
cgb12-0880|5,5871,1061,11,10
cgb12-0888|5,5871,130,29,21
cgb12-0899|5,5871,192,10,8
cgb12-0900|5,5871,195,16,16
cgb12-0903|5,5871,4101,3,2
cgb12-0907|5,5871,4262,22,4
cgb12-0910|5,5871,4649,1,1
cgb12-0911|5,5871,4679,15,4
cgb12-0917|5,5871,5248,1,0
cgb12-0923|5,5871,554,5,4
cgb12-0925|5,5871,5641,10,0
cgb12-0926|5,5871,5644,28,24
cgb12-0932|5,5871,5771,26,16
cgb12-0936|5,5871,5826,14,10
cgb12-0941|5,5871,650,3,1
cgb12-0947|5,5871,78,26,0
cgb12-0958|6,32767,13647,53,49
cgb12-0968|6,32767,17599,20,4
cgb12-0969|6,32767,18303,25,24
cgb12-0976|6,32767,19763,40,8
cgb12-0988|6,32767,23944,27,0
cgb12-0994|6,32767,25987,62,42
cgb12-0995|6,32767,27818,44,32
cgb12-1000|6,32767,29327,10,0
cgb12-1018|6,32767,8087,15,8
cgb12-1025|4,513,0,1,0
cgb12-1026|4,513,0,10,0
cgb12-1027|4,513,0,10,10
cgb12-1033|4,513,0,13,13
cgb12-1034|4,513,0,13,9
cgb12-1037|4,513,0,15,14
cgb12-1042|4,513,0,7,7
cgb12-1052|4,513,1,14,4
cgb12-1053|4,513,1,15,5
cgb12-1056|4,513,1,5,0
cgb12-1057|4,513,1,5,4
cgb12-1065|4,513,512,10,2
cgb12-1074|4,513,512,3,3
cgb12-1083|4,513,513,13,13
cgb12-1086|4,513,513,15,1
cgb12-1087|4,513,513,15,8
cgb12-1089|4,513,513,3,2
cgb12-1090|4,513,513,4,0
cgb12-1093|4,513,513,6,2
cgb12-1096|4,513,513,8,0
cgb12-1097|4,513,513,8,8
cgb12-1102|5,513,0,1,1
cgb12-1104|5,513,0,13,8
cgb12-1114|5,513,0,4,4
cgb12-1124|5,513,1,17,0
cgb12-1125|5,513,1,18,18
cgb12-1126|5,513,1,19,17
cgb12-1131|5,513,1,21,17
cgb12-1132|5,513,1,22,2
cgb12-1135|5,513,1,24,8
cgb12-1138|5,513,1,27,3
cgb12-1139|5,513,1,27,8
cgb12-1141|5,513,1,30,2
cgb12-1150|5,513,512,11,10
cgb12-1163|5,513,512,3,0
cgb12-1165|5,513,512,5,4
cgb12-1166|5,513,512,5,5
cgb12-1172|5,513,513,1,1
cgb12-1175|5,513,513,13,8
cgb12-1176|5,513,513,15,14
cgb12-1178|5,513,513,17,17
cgb12-1184|5,513,513,25,9
cgb12-1189|5,513,513,5,1
cgb12-1198|6,16897,0,21,0
cgb12-1201|6,16897,0,36,36
cgb12-1202|6,16897,0,58,8
cgb12-1211|6,16897,1,5,0
cgb12-1215|6,16897,16384,11,11
cgb12-1216|6,16897,16384,12,4
cgb12-1219|6,16897,16384,42,0
cgb12-1233|6,16897,16385,61,37
cgb12-1234|6,16897,16896,19,17
cgb12-1238|6,16897,16896,35,0
cgb12-1244|6,16897,16897,2,0
cgb12-1245|6,16897,16897,22,20
cgb12-1253|6,16897,16897,54,36
cgb12-1254|6,16897,16897,55,23
cgb12-1256|6,16897,512,13,9
cgb12-1258|6,16897,512,24,24
cgb12-1259|6,16897,512,24,8
cgb12-1264|6,16897,512,54,52
cgb12-1267|6,16897,513,17,16
cgb12-1268|6,16897,513,20,4
cgb12-1279|6,16897,513,8,8
cgb12-1283|2,0,0,1,1
cgb12-1296|3,1,0,2,0
cgb12-1298|3,1,1,2,0
cgb12-1303|3,2,0,2,2
cgb12-1304|3,2,0,3,2
cgb12-1305|3,2,0,6,2
cgb12-1306|3,2,2,1,0
cgb12-1309|3,3,0,7,6
cgb12-1318|3,32,32,6,0
cgb12-1324|3,33,33,1,1
cgb12-1327|3,34,2,6,0
cgb12-1330|3,34,32,3,3
cgb12-1332|3,34,32,7,1
cgb12-1333|3,34,34,2,2
cgb12-1334|3,35,1,7,1
cgb12-1337|3,35,35,2,2
cgb12-1340|4,102,102,3,3
cgb12-1344|4,35,1,13,4
cgb12-1358|4,516,516,3,3
cgb12-1359|4,518,4,14,0
cgb12-1360|4,544,0,8,0
cgb12-1368|4,576,576,6,0
cgb12-1371|4,582,66,2,2
cgb12-1374|4,610,32,5,0
cgb12-1377|4,610,578,5,4
cgb12-1387|4,67,2,15,6
cgb12-1392|4,69,1,4,4
cgb12-1397|4,98,64,3,1
cgb12-1398|5,102,96,25,1
cgb12-1401|5,1093,1024,27,27
cgb12-1403|5,1129,1065,16,0
cgb12-1410|5,1611,1088,18,0
cgb12-1411|5,1615,591,9,1
cgb12-1414|5,1646,576,21,0
cgb12-1421|5,4100,4,1,0
cgb12-1423|5,4163,4096,27,1
cgb12-1425|5,4204,32,1,1
cgb12-1430|5,4620,524,12,12
cgb12-1433|5,4712,584,11,10
cgb12-1436|5,4806,4608,13,5
cgb12-1440|5,5325,13,10,10
cgb12-1447|5,5830,5696,18,16
cgb12-1451|5,65,1,11,10
cgb12-1457|5,709,709,28,20
cgb12-1458|5,711,512,19,1
cgb12-1463|6,10061,8968,59,42
cgb12-1469|6,11661,3205,0,0
cgb12-1471|6,12030,10308,52,4
cgb12-1472|6,12300,4100,35,3
cgb12-1474|6,14234,14216,52,32
cgb12-1475|6,14429,4188,62,32
cgb12-1480|6,1671,513,51,3
cgb12-1491|6,21031,517,5,5
cgb12-1492|6,21123,21121,53,49
cgb12-1496|6,23009,22657,18,16
cgb12-1501|6,24240,1664,53,5
cgb12-1502|6,24590,16386,30,26
cgb12-1508|6,28928,12288,25,17
cgb12-1511|6,29430,12290,31,23
cgb12-1512|6,29450,25096,58,48
cgb12-1519|6,4343,3,11,10
cgb12-1520|6,4878,4358,24,0
cgb12-1523|6,5421,289,37,37
cgb12-1534|6,9567,9545,15,12
